CUSTOMERID,LASTNAME,FIRSTNAME,GENDER,REGIONID,ID,NAME,COUNTY,STATE_CODE,STATE_CODE,STATE,REGION,ID,ID,CUSTOMERID,BROKERID,PRODUCTID,COMPLAINSTATUSID
1826228,John,Adams,MALE,128,128,Mission Viejo,Orange County,CA,CA,California,West,4,,,,,
618269,Dorothy,Wells,FEMALE,491,491,Indianapolis,Marion County.,IN,IN,Indiana,Midwest,15,,,,,
549022,Ernest,Olson,MALE,182,182,San Mateo,San Mateo County,CA,CA,California,West,4,,,,,
153566,Todd,Fernandez,MALE,857,857,Abilene,Jones County/Taylor County,TX,TX,Texas,South,43,,,,,
2405950,Wayne,Morris,MALE,273,273,West Hartford,Hartford County,CT,CT,Connecticut,Northeast,6,,,,,
2360707,Joshua,Greene,MALE,618,618,Coon Rapids,Anoka County,MN,MN,Minnesota,Midwest,23,,,,,
893153,Ann,Banks,FEMALE,258,258,Meriden (Town),New Haven County,CT,CT,Connecticut,Northeast,6,,,,,
2125605,Diane,Austin,FEMALE,443,443,Oswego (Township),Kendall County,IL,IL,Illinois,Midwest,14,,,,,
1607889,Linda,Wallace,FEMALE,857,857,Abilene,Jones County/Taylor County,TX,TX,Texas,South,43,,,,,
483901,Terry,Grant,MALE,553,553,New Bedford,Bristol County,MA,MA,Massachusetts,Northeast,19,,,,,
2361625,Arthur,Meyer,MALE,70,70,Cupertino,Santa Clara County,CA,CA,California,West,4,,,,,
792863,Debra,Stephens,FEMALE,689,689,Hoboken,Hudson County,NJ,NJ,New Jersey,Northeast,31,,,,,
2289520,Scott,Robinson,MALE,682,682,Clifton,Passaic County,NJ,NJ,New Jersey,Northeast,31,,,,,
390517,Andrea,Mcdonald,FEMALE,63,63,Citrus Heights,Sacramento County,CA,CA,California,West,4,,,,,
683298,Thomas,Reynolds,MALE,266,266,Norwalk (Town),Fairfield County,CT,CT,Connecticut,Northeast,6,,,,,
19645,Wanda,Tucker,FEMALE,614,614,Blaine,Anoka County/Ramsey County,MN,MN,Minnesota,Midwest,23,,,,,
323862,Carlos,Ford,MALE,581,581,Ann Arbor,Washtenaw County,MI,MI,Michigan,Midwest,22,,,,,
707348,Frances,Hamilton,FEMALE,451,451,Rich,Cook County,IL,IL,Illinois,Midwest,14,,,,,
2010683,Keith,Peters,MALE,941,941,Centreville,Fairfax County,VA,VA,Virginia,South,45,,,,,
210137,Jose,Rivera,MALE,705,705,Piscataway,Middlesex County,NJ,NJ,New Jersey,Northeast,31,,,,,
1761522,Christopher,Myers,MALE,560,560,Springfield,Hampden County,MA,MA,Massachusetts,Northeast,19,,,,,
1875114,Catherine,Weaver,FEMALE,685,685,Elizabeth,Union County,NJ,NJ,New Jersey,Northeast,31,,,,,
694864,Jean,Evans,FEMALE,816,816,Springfield,Lane County,OR,OR,Oregon,West,37,,,,,
878633,Lawrence,Hicks,MALE,533,533,Lafayette,Lafayette Parish,LA,LA,Louisiana,South,18,,,,,
1816684,Michael,Fowler,MALE,347,347,The Villages,Sumter County/Marion County,FL,FL,Florida,South,9,,,,,
1802684,Ann,Nelson,FEMALE,331,331,Poinciana,Polk County/Osceola County,FL,FL,Florida,South,9,,,,,
886560,Amy,Oliver,FEMALE,705,705,Piscataway,Middlesex County,NJ,NJ,New Jersey,Northeast,31,,,,,
213036,Russell,Baker,MALE,807,807,Beaverton,Washington County,OR,OR,Oregon,West,37,,,,,
2115678,Michael,Jacobs,MALE,729,729,Sunrise Manor,Clark County,NV,NV,Nevada,West,33,,,,,
290886,Karen,Patterson,FEMALE,421,421,Joliet,Kendall County/Will County,IL,IL,Illinois,Midwest,14,,,,,
2498034,Patricia,Cox,FEMALE,411,411,Du Page,Will County,IL,IL,Illinois,Midwest,14,,,,,
2433473,James,Powell,MALE,302,302,Homestead,Miami-Dade County,FL,FL,Florida,South,9,,,,,
1786634,Timothy,Mccoy,MALE,428,428,Maine,Cook County,IL,IL,Illinois,Midwest,14,,,,,
586884,Clarence,Holmes,MALE,49,49,Berkeley,Alameda County,CA,CA,California,West,4,,,,,
2175152,Ashley,Armstrong,FEMALE,952,952,Richmond,Richmond city,VA,VA,Virginia,South,45,,,,,
719851,Theresa,Torres,FEMALE,305,305,Kendale Lakes,Miami-Dade County,FL,FL,Florida,South,9,,,,,
579117,Daniel,Hicks,MALE,658,658,Fayetteville,Cumberland County,NC,NC,North Carolina,South,27,,,,,
728666,Virginia,Ferguson,FEMALE,841,841,North Charleston,Dorchester County/Berkeley County/Charleston County,SC,SC,South Carolina,South,40,,,,,
1898216,Christina,Barnes,FEMALE,699,699,North Bergen,Hudson County,NJ,NJ,New Jersey,Northeast,31,,,,,
2510616,Kimberly,Alexander,FEMALE,219,219,Whittier,Los Angeles County,CA,CA,California,West,4,,,,,
407236,Gary,Freeman,MALE,73,73,Delano,Kern County,CA,CA,California,West,4,,,,,
1922422,Harry,Burke,MALE,511,511,Terre Haute,Vigo County,IN,IN,Indiana,Midwest,15,,,,,
2202917,Albert,Reynolds,MALE,798,798,Enid,Garfield County,OK,OK,Oklahoma,South,36,,,,,
1852087,Julie,Perez,FEMALE,377,377,Sioux City,Plymouth County/Woodbury County,IA,IA,Iowa,Midwest,12,,,,,
209717,Ronald,Brooks,MALE,327,327,Pensacola,Escambia County,FL,FL,Florida,South,9,,,,,
1905924,Carol,Gomez,FEMALE,198,198,Stockton,San Joaquin County,CA,CA,California,West,4,,,,,
1798824,Lois,Parker,FEMALE,87,87,Folsom,Sacramento County,CA,CA,California,West,4,,,,,
74428,Ruby,Scott,FEMALE,982,982,Eau Claire,Eau Claire County/Chippewa County,WI,WI,Wisconsin,Midwest,47,,,,,
513749,Roy,Washington,MALE,742,742,Greece,Monroe County,NY,NY,New York,Northeast,34,,,,,
461914,Walter,Chapman,MALE,473,473,Bloomington,Monroe County,IN,IN,Indiana,Midwest,15,,,,,
2258139,Wayne,Perkins,MALE,695,695,Lakewood (Township),Ocean County,NJ,NJ,New Jersey,Northeast,31,,,,,
80840,Deborah,Stone,FEMALE,949,949,Norfolk,Norfolk city,VA,VA,Virginia,South,45,,,,,
2237881,Lawrence,Burton,MALE,131,131,Monterey Park,Los Angeles County,CA,CA,California,West,4,,,,,
609850,Gloria,Murray,FEMALE,575,575,Glen Burnie,Anne Arundel County,MD,MD,Maryland,South,20,,,,,
422544,Randy,Hamilton,MALE,808,808,Bend,Deschutes County,OR,OR,Oregon,West,37,,,,,
564540,William,Cunningham,MALE,172,172,Sacramento,Sacramento County,CA,CA,California,West,4,,,,,
1694994,Ronald,Hall,MALE,137,137,Newport Beach,Orange County,CA,CA,California,West,4,,,,,
2057652,Alan,Arnold,MALE,185,185,Santa Ana,Orange County,CA,CA,California,West,4,,,,,
113153,Lillian,Ramirez,FEMALE,78,78,Eastvale,Riverside County,CA,CA,California,West,4,,,,,
426701,Albert,Ellis,MALE,469,469,Worth (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
2039089,Stephanie,Hayes,FEMALE,709,709,Trenton,Mercer County,NJ,NJ,New Jersey,Northeast,31,,,,,
73014,Joseph,Gilbert,MALE,620,620,Eagan,Dakota County,MN,MN,Minnesota,Midwest,23,,,,,
1807475,Carol,Meyer,FEMALE,668,668,Winston-Salem,Forsyth County,NC,NC,North Carolina,South,27,,,,,
281352,Randy,Reid,MALE,318,318,North Miami,Miami-Dade County,FL,FL,Florida,South,9,,,,,
135355,Lisa,Ward,FEMALE,464,464,Waukegan (Township),Lake County,IL,IL,Illinois,Midwest,14,,,,,
398680,Michelle,Long,FEMALE,533,533,Lafayette,Lafayette Parish,LA,LA,Louisiana,South,18,,,,,
1759725,Lois,Perkins,FEMALE,873,873,Denton,Denton County,TX,TX,Texas,South,43,,,,,
1806267,Sandra,Carr,FEMALE,490,490,Harrison,Vigo County,IN,IN,Indiana,Midwest,15,,,,,
2110086,Pamela,Fowler,FEMALE,331,331,Poinciana,Polk County/Osceola County,FL,FL,Florida,South,9,,,,,
1891844,Kathy,Morrison,FEMALE,712,712,Vineland,Cumberland County,NJ,NJ,New Jersey,Northeast,31,,,,,
2157029,Tammy,Gilbert,FEMALE,773,773,Yonkers,Westchester County,NY,NY,New York,Northeast,34,,,,,
1861072,Benjamin,Woods,MALE,619,619,Duluth,St. Louis County,MN,MN,Minnesota,Midwest,23,,,,,
2058083,Brian,Larson,MALE,701,701,Parsippany-Troy Hills,Morris County,NJ,NJ,New Jersey,Northeast,31,,,,,
769987,Christine,Jackson,FEMALE,803,803,Oklahoma City,Canadian County/Pottawatomie County/Oklahoma County/Cleveland County,OK,OK,Oklahoma,South,36,,,,,
2107199,John,Dixon,MALE,504,504,Perry,Monroe County,IN,IN,Indiana,Midwest,15,,,,,
2523168,Louise,Martin,FEMALE,702,702,Passaic,Passaic County,NJ,NJ,New Jersey,Northeast,31,,,,,
227529,Robert,Vasquez,MALE,221,221,Yorba Linda,Orange County,CA,CA,California,West,4,,,,,
440763,Betty,Rose,FEMALE,755,755,New York City,Richmond County/Queens County/Kings County/New York County/Bronx County,NY,NY,New York,Northeast,34,,,,,
659905,Bobby,Flores,MALE,476,476,Center,Delaware County,IN,IN,Indiana,Midwest,15,,,,,
1727502,George,Hill,MALE,789,789,Parma,Cuyahoga County,OH,OH,Ohio,Midwest,35,,,,,
2217688,Melissa,Richardson,FEMALE,982,982,Eau Claire,Eau Claire County/Chippewa County,WI,WI,Wisconsin,Midwest,47,,,,,
2220290,Johnny,Turner,MALE,441,441,Orland,Cook County,IL,IL,Illinois,Midwest,14,,,,,
451203,Randy,Davis,MALE,850,850,Jackson,Madison County,TN,TN,Tennessee,South,42,,,,,
1798650,Timothy,Fox,MALE,53,53,Camarillo,Ventura County,CA,CA,California,West,4,,,,,
2418718,Anthony,Gardner,MALE,357,357,Brookhaven,DeKalb County,GA,GA,Georgia,South,10,,,,,
2065708,Walter,Murray,MALE,206,206,Tustin,Orange County,CA,CA,California,West,4,,,,,
1911520,Ashley,Carpenter,FEMALE,968,968,Pasco,Franklin County,WA,WA,Washington,West,46,,,,,
856847,William,Welch,MALE,306,306,Kendall,Miami-Dade County,FL,FL,Florida,South,9,,,,,
362654,Kathryn,Carter,FEMALE,178,178,San Francisco,San Francisco County,CA,CA,California,West,4,,,,,
2116491,Joseph,Dean,MALE,330,330,Plantation,Broward County,FL,FL,Florida,South,9,,,,,
675584,David,Parker,MALE,529,529,Owensboro,Daviess County,KY,KY,Kentucky,South,17,,,,,
890549,Sara,Olson,FEMALE,743,743,Greenburgh,Westchester County,NY,NY,New York,Northeast,34,,,,,
2066146,Bobby,Bailey,MALE,844,844,Sioux Falls,Minnehaha County/Lincoln County,SD,SD,South Dakota,Midwest,41,,,,,
893947,Scott,Carr,MALE,459,459,Thornton (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
888521,Judith,Hanson,FEMALE,70,70,Cupertino,Santa Clara County,CA,CA,California,West,4,,,,,
42884,Julie,Little,FEMALE,712,712,Vineland,Cumberland County,NJ,NJ,New Jersey,Northeast,31,,,,,
487329,Jessica,Austin,FEMALE,459,459,Thornton (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
2018797,Jimmy,Wood,MALE,474,474,Calumet,Lake County,IN,IN,Indiana,Midwest,15,,,,,
680722,Julie,Cole,FEMALE,222,222,Yuba City,Sutter County,CA,CA,California,West,4,,,,,
294390,Lawrence,Nelson,MALE,947,947,Lynchburg,Lynchburg city,VA,VA,Virginia,South,45,,,,,
258949,Sharon,Ryan,FEMALE,791,791,Springfield,Clark County,OH,OH,Ohio,Midwest,35,,,,,
689019,Thomas,Washington,MALE,586,586,Dearborn Heights,Wayne County,MI,MI,Michigan,Midwest,22,,,,,
34688,Thomas,Fowler,MALE,116,116,La Mesa,San Diego County,CA,CA,California,West,4,,,,,
721991,Virginia,Clark,FEMALE,440,440,Oak Park (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
1801245,Jeffrey,Phillips,MALE,604,604,Sterling Heights,Macomb County,MI,MI,Michigan,Midwest,22,,,,,
1866824,Antonio,Freeman,MALE,913,913,Rowlett,Rockwall County/Dallas County,TX,TX,Texas,South,43,,,,,
1820612,Gloria,Larson,FEMALE,802,802,Norman,Cleveland County,OK,OK,Oklahoma,South,36,,,,,
555947,Clarence,Hanson,MALE,299,299,Gainesville,Alachua County,FL,FL,Florida,South,9,,,,,
1858425,Philip,Arnold,MALE,387,387,Algonquin (Township),McHenry County,IL,IL,Illinois,Midwest,14,,,,,
894142,Joseph,Green,MALE,639,639,O'Fallon,St. Charles County,MO,MO,Missouri,Midwest,24,,,,,
856470,Evelyn,Pierce,FEMALE,38,38,Alameda,Alameda County,CA,CA,California,West,4,,,,,
394829,Joyce,Carroll,FEMALE,698,698,New Brunswick,Middlesex County,NJ,NJ,New Jersey,Northeast,31,,,,,
397787,Anna,Smith,FEMALE,864,864,Beaumont,Jefferson County,TX,TX,Texas,South,43,,,,,
2035726,Lois,Frazier,FEMALE,82,82,Encinitas,San Diego County,CA,CA,California,West,4,,,,,
2111202,Mildred,Torres,FEMALE,80,80,Elk Grove,Sacramento County,CA,CA,California,West,4,,,,,
2116038,Norma,Harper,FEMALE,819,819,Allentown,Lehigh County,PA,PA,Pennsylvania,Northeast,38,,,,,
1849333,Sean,Howell,MALE,846,846,Chattanooga,Hamilton County,TN,TN,Tennessee,South,42,,,,,
2096634,Teresa,Lopez,FEMALE,329,329,Pinellas Park,Pinellas County,FL,FL,Florida,South,9,,,,,
1848568,Margaret,Payne,FEMALE,819,819,Allentown,Lehigh County,PA,PA,Pennsylvania,Northeast,38,,,,,
1912220,Victor,Simmons,MALE,258,258,Meriden (Town),New Haven County,CT,CT,Connecticut,Northeast,6,,,,,
55617,Angela,Harrison,FEMALE,527,527,Lexington-Fayette,Fayette County,KY,KY,Kentucky,South,17,,,,,
895737,Brian,Schmidt,MALE,217,217,Westminster,Orange County,CA,CA,California,West,4,,,,,
2188976,Harold,Porter,MALE,961,961,Federal Way,King County,WA,WA,Washington,West,46,,,,,
388357,Antonio,Porter,MALE,626,626,Minnetonka,Hennepin County,MN,MN,Minnesota,Midwest,23,,,,,
11160,Jerry,Jackson,MALE,934,934,South Jordan,Salt Lake County,UT,UT,Utah,West,44,,,,,
537850,Andrew,Hamilton,MALE,495,495,Lafayette,Tippecanoe County,IN,IN,Indiana,Midwest,15,,,,,
380774,Wanda,Burke,FEMALE,569,569,Columbia,Howard County,MD,MD,Maryland,South,20,,,,,
1725820,Deborah,Knight,FEMALE,118,118,Livermore,Alameda County,CA,CA,California,West,4,,,,,
747266,Carlos,Moore,MALE,374,374,Des Moines,Warren County/Polk County,IA,IA,Iowa,Midwest,12,,,,,
577536,Ruby,Holmes,FEMALE,824,824,Lancaster,Lancaster County,PA,PA,Pennsylvania,Northeast,38,,,,,
1865762,Roger,Young,MALE,553,553,New Bedford,Bristol County,MA,MA,Massachusetts,Northeast,19,,,,,
430811,Brian,Bell,MALE,518,518,Lawrence,Douglas County,KS,KS,Kansas,Midwest,16,,,,,
2174023,Charles,Ryan,MALE,916,916,San Marcos,Caldwell County/Hays County/Guadalupe County,TX,TX,Texas,South,43,,,,,
2137065,Henry,James,MALE,564,564,Worcester,Worcester County,MA,MA,Massachusetts,Northeast,19,,,,,
871537,Kimberly,Davis,FEMALE,125,125,Menifee,Riverside County,CA,CA,California,West,4,,,,,
1878981,Feelgood Corp,,,80,80,Elk Grove,Sacramento County,CA,CA,California,West,4,,,,,
336310,Cynthia,Chavez,FEMALE,197,197,South Whittier,Los Angeles County,CA,CA,California,West,4,,,,,
892484,David,Fowler,MALE,398,398,Bolingbrook,Will County/DuPage County,IL,IL,Illinois,Midwest,14,,,,,
720122,Virginia,Bishop,FEMALE,847,847,Clarksville,Montgomery County,TN,TN,Tennessee,South,42,,,,,
2170627,Roy,Jenkins,MALE,236,236,Highlands Ranch,Douglas County,CO,CO,Colorado,West,5,,,,,
67861,Johnny,Moore,MALE,110,110,Jurupa Valley,Riverside County,CA,CA,California,West,4,,,,,
655764,Rose,Williams,FEMALE,716,716,Albuquerque,Bernalillo County,NM,NM,New Mexico,West,32,,,,,
709203,Robin,Gardner,FEMALE,935,935,St. George,Washington County,UT,UT,Utah,West,44,,,,,
797027,Lori,Lane,FEMALE,767,767,The Bronx,Bronx County,NY,NY,New York,Northeast,34,,,,,
1708372,Richard,Kelly,MALE,460,460,Tinley Park,Cook County/Will County,IL,IL,Illinois,Midwest,14,,,,,
2136251,Bobby,Vasquez,MALE,644,644,St. Peters,St. Charles County,MO,MO,Missouri,Midwest,24,,,,,
29453,Charles,Kennedy,MALE,911,911,Richardson,Collin County/Dallas County,TX,TX,Texas,South,43,,,,,
2395,Charles,Riley,MALE,983,983,Green Bay,Brown County,WI,WI,Wisconsin,Midwest,47,,,,,
514319,Judy,Jackson,FEMALE,685,685,Elizabeth,Union County,NJ,NJ,New Jersey,Northeast,31,,,,,
1804481,Aaron,Dixon,MALE,333,333,Port Charlotte,Charlotte County,FL,FL,Florida,South,9,,,,,
2492221,Albert,Marshall,MALE,1,1,Auburn,Lee County,AL,AL,Alabama,South,1,,,,,
1644995,Todd,Flores,MALE,233,233,Fort Collins,Larimer County,CO,CO,Colorado,West,5,,,,,
62697,David,Franklin,MALE,773,773,Yonkers,Westchester County,NY,NY,New York,Northeast,34,,,,,
292174,Ralph,Johnston,MALE,16,16,Rogers,Benton County,AR,AR,Arkansas,South,2,,,,,
1900325,Susan,Barnes,FEMALE,549,549,Lowell,Middlesex County,MA,MA,Massachusetts,Northeast,19,,,,,
2115158,Justin,Hamilton,MALE,167,167,Riverside,Riverside County,CA,CA,California,West,4,,,,,
824047,Bobby,Chavez,MALE,396,396,Bloomington,McLean County,IL,IL,Illinois,Midwest,14,,,,,
221207,Eugene,Mitchell,MALE,927,927,Logan,Cache County,UT,UT,Utah,West,44,,,,,
2359374,Helen,Weaver,FEMALE,494,494,Kokomo,Howard County,IN,IN,Indiana,Midwest,15,,,,,
490009,Timothy,Thompson,MALE,191,191,Santa Monica,Los Angeles County,CA,CA,California,West,4,,,,,
2108987,Elite Group,,,871,871,Corpus Christi,Aransas County/Kleberg County/Nueces County/San Patricio County,TX,TX,Texas,South,43,,,,,
507219,Helen,Willis,FEMALE,127,127,Milpitas,Santa Clara County,CA,CA,California,West,4,,,,,
2415583,Rebecca,Lewis,FEMALE,773,773,Yonkers,Westchester County,NY,NY,New York,Northeast,34,,,,,
2172748,Victor,Bailey,MALE,157,157,Porterville,Tulare County,CA,CA,California,West,4,,,,,
199396,Rose,Carroll,FEMALE,513,513,Warren,Marion County,IN,IN,Indiana,Midwest,15,,,,,
1772394,Joe,Graham,MALE,621,621,Eden Prairie,Hennepin County,MN,MN,Minnesota,Midwest,23,,,,,
1803411,Jane,Evans,FEMALE,369,369,Ames,Story County,IA,IA,Iowa,Midwest,12,,,,,
562323,Jeffrey,Thomas,MALE,593,593,Kentwood,Kent County,MI,MI,Michigan,Midwest,22,,,,,
520975,Robin,Murray,FEMALE,868,868,Cedar Park,Williamson County/Travis County,TX,TX,Texas,South,43,,,,,
1695310,Michael,Johnston,MALE,793,793,Washington,Montgomery County,OH,OH,Ohio,Midwest,35,,,,,
228892,Justin,Freeman,MALE,507,507,Portage,St. Joseph County,IN,IN,Indiana,Midwest,15,,,,,
271178,Guerlain Group,,,1,1,Auburn,Lee County,AL,AL,Alabama,South,1,,,,,
1908656,Angela,Rice,FEMALE,336,336,Riverview,Hillsborough County,FL,FL,Florida,South,9,,,,,
2363510,Katherine,Reynolds,FEMALE,282,282,Boynton Beach,Palm Beach County,FL,FL,Florida,South,9,,,,,
1800167,Norma,Sanchez,FEMALE,246,246,Bristol (Town),Hartford County,CT,CT,Connecticut,Northeast,6,,,,,
2398024,Bobby,Gilbert,MALE,438,438,Oak Lawn,Cook County,IL,IL,Illinois,Midwest,14,,,,,
1706825,Ruby,Burton,FEMALE,286,286,Clearwater,Pinellas County,FL,FL,Florida,South,9,,,,,
277511,Ronald,Kelley,MALE,903,903,North Richland Hills,Tarrant County,TX,TX,Texas,South,43,,,,,
823475,Lori,Stevens,FEMALE,684,684,Edison,Middlesex County,NJ,NJ,New Jersey,Northeast,31,,,,,
1804839,Terry,Ortiz,MALE,920,920,The Woodlands,Harris County/Montgomery County,TX,TX,Texas,South,43,,,,,
2017293,Martin,Thomas,MALE,915,915,San Antonio,Bexar County/Comal County/Medina County,TX,TX,Texas,South,43,,,,,
170278,Pamela,Welch,FEMALE,830,830,Reading,Berks County,PA,PA,Pennsylvania,Northeast,38,,,,,
1843736,Ruby,Snyder,FEMALE,247,247,Danbury,Fairfield County,CT,CT,Connecticut,Northeast,6,,,,,
1795665,Arthur,Romero,MALE,686,686,Franklin,Somerset County,NJ,NJ,New Jersey,Northeast,31,,,,,
667173,Fred,King,MALE,517,517,Kansas City,Wyandotte County,KS,KS,Kansas,Midwest,16,,,,,
243979,David,Larson,MALE,79,79,El Cajon,San Diego County,CA,CA,California,West,4,,,,,
1982380,Donna,Coleman,FEMALE,680,680,Camden,Camden County,NJ,NJ,New Jersey,Northeast,31,,,,,
1859408,Thomas,Watson,MALE,733,733,Brentwood,Suffolk County,NY,NY,New York,Northeast,34,,,,,
304930,Timothy,Reyes,MALE,427,427,Lyons (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
1851024,Steve,Harris,MALE,440,440,Oak Park (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
889163,Brian,Harvey,MALE,957,957,Bellevue,King County,WA,WA,Washington,West,46,,,,,
588518,Cynthia,Garrett,FEMALE,447,447,Peoria,Peoria County,IL,IL,Illinois,Midwest,14,,,,,
